replicate,method,canonical_accuracy,canonical_macro_f1,canonical_log_loss,canonical_ece
19,Independent-threshold logistic,0.522,0.5154691120333335,1.0136635526471478,0.0370530998430009
20,PLA-BN (TAN),0.51225,0.4995894171058229,0.9994981631825016,0.0396136317375477
20,PLA-BN (Naive Bayes),0.41025,0.37792362005182,3.10750861177466,0.2980970915568653
20,Representative-label TAN,0.38275,0.3334231239903488,1.2103776115295335,0.1850006077825575
20,Oracle-label TAN,0.53675,0.5271679375569966,0.9819452842875768,0.0177420251354056
20,Operator-aware logistic EM,0.51175,0.4935080525650163,0.9947189931300908,0.0304601528035916
20,Independent-threshold logistic,0.51875,0.5103818314269721,0.9962641453398068,0.0363437443159211
21,PLA-BN (TAN),0.523,0.4927231822515949,1.003868316879247,0.0308795120803928
21,PLA-BN (Naive Bayes),0.42925,0.4106457199201063,2.378712792993385,0.2852567508178256
21,Representative-label TAN,0.35525,0.3175950554281855,1.2446466142125634,0.2141999555257746
21,Oracle-label TAN,0.53775,0.5091222188407467,0.9934334301560704,0.0115976312623924
21,Operator-aware logistic EM,0.53775,0.5057448619343611,0.9939477565582772,0.0234616552827377
21,Independent-threshold logistic,0.537,0.5126708433823691,0.9983364203340134,0.0195885965318442
22,PLA-BN (TAN),0.50875,0.4924074543830494,1.0182864112678178,0.048047869714724
22,PLA-BN (Naive Bayes),0.43725,0.4236815372058099,2.377897628570792,0.2754655807091229
22,Representative-label TAN,0.383,0.3174203581199138,1.196013578679051,0.1866979414232515
22,Oracle-label TAN,0.518,0.4976074113338297,1.0041234329974291,0.0299032110011828
22,Operator-aware logistic EM,0.50625,0.488084933312732,1.009535681473594,0.0406183686887633
22,Independent-threshold logistic,0.5095,0.4978739966447759,1.0171234946694208,0.0521242504521437
23,PLA-BN (TAN),0.517,0.4898080906668107,0.9991925662470564,0.040042272145922
23,PLA-BN (Naive Bayes),0.42575,0.3953252691247951,2.739449241288691,0.3020551373972701
23,Representative-label TAN,0.38525,0.3341522025434907,1.217846729833021,0.1787213673109021
23,Oracle-label TAN,0.53925,0.5229345677906797,0.983864738240372,0.0227014666737032
