repeat,fold,split_id,evaluation,method,accuracy,balanced_accuracy,macro_f1,log_loss,brier
1,5,R1F5,canonical_bp_severity,Oracle-label logistic,0.592814371257485,0.3892206906810125,0.3580985530749808,0.8827112599197191,0.5233877538125723
1,5,R1F5,transport_ACC_AHA_130_80,Oracle-label logistic,0.6227544910179641,0.5914179104477612,0.5917820975439413,0.6235229400894455,0.4376860542565146
1,5,R1F5,transport_ESC_140_90,Oracle-label logistic,0.8033932135728543,0.5133088249421982,0.4825614771824694,0.4263922288579769,0.2776256120509854
2,1,R2F1,canonical_bp_severity,GALIATSATOS/PLA-BN TAN,0.5423728813559322,0.3747648487040782,0.3708043028116769,0.9847544676513492,0.5668289846520962
2,1,R2F1,transport_ACC_AHA_130_80,GALIATSATOS/PLA-BN TAN,0.6231306081754736,0.6051571546732837,0.6056799460835705,0.6506829428416652,0.4584245873130583
2,1,R2F1,transport_ESC_140_90,GALIATSATOS/PLA-BN TAN,0.7916251246261217,0.5279554751315739,0.5175143219486597,0.4839792792848523,0.3108327211221905
2,1,R2F1,canonical_bp_severity,Operator-aware logistic EM,0.5862412761714856,0.4090743298420997,0.4025988791247007,0.894849079114636,0.525174139572008
2,1,R2F1,transport_ACC_AHA_130_80,Operator-aware logistic EM,0.634097706879362,0.6090281224152192,0.6102709885072075,0.6247839841231752,0.437186880728981
2,1,R2F1,transport_ESC_140_90,Operator-aware logistic EM,0.8115653040877367,0.5344385967147937,0.5194570135746607,0.4422854988530721,0.2822297265968777
2,1,R2F1,canonical_bp_severity,Oracle-label logistic,0.5962113659022931,0.4018583556673627,0.3658041156057039,0.8865794603349189,0.5220292656326934
2,1,R2F1,transport_ACC_AHA_130_80,Oracle-label logistic,0.6301096709870389,0.6016211745244003,0.6025762752412922,0.6229498705272648,0.4356038386902948
2,1,R2F1,transport_ESC_140_90,Oracle-label logistic,0.7986041874376869,0.5166076230040906,0.4924292528459195,0.4422928516819741,0.2849752143417468
2,2,R2F2,canonical_bp_severity,GALIATSATOS/PLA-BN TAN,0.5912263210368893,0.420705650135702,0.4197247188229249,0.9542377975582946,0.5270190966153646
2,2,R2F2,transport_ACC_AHA_130_80,GALIATSATOS/PLA-BN TAN,0.6739780658025922,0.6488792390405294,0.651259525791809,0.5965198432152007,0.412042608259793
2,2,R2F2,transport_ESC_140_90,GALIATSATOS/PLA-BN TAN,0.806580259222333,0.5862118595279217,0.5997638676342334,0.4408650894953362,0.2792670757416414
2,2,R2F2,canonical_bp_severity,Operator-aware logistic EM,0.6061814556331007,0.4262233736327001,0.4215105757017015,0.8574269722428919,0.4999790122112353
2,2,R2F2,transport_ACC_AHA_130_80,Operator-aware logistic EM,0.6759720837487537,0.6505459057071961,0.6530132152494292,0.5823015177068985,0.4012300615996252
2,2,R2F2,transport_ESC_140_90,Operator-aware logistic EM,0.8035892323030908,0.5271317085652146,0.5107111107809417,0.4156034791514862,0.2646453651331969
2,2,R2F2,canonical_bp_severity,Oracle-label logistic,0.6151545363908275,0.4207130520602023,0.3902765198719143,0.843585671746019,0.4954817513503886
2,2,R2F2,transport_ACC_AHA_130_80,Oracle-label logistic,0.6729810568295115,0.6447870140612075,0.6472278697103053,0.5857779730918322,0.4032084202657527
2,2,R2F2,transport_ESC_140_90,Oracle-label logistic,0.8075772681954138,0.5296008443676837,0.5131423081469484,0.4104401549220918,0.2644379362337037
2,3,R2F3,canonical_bp_severity,GALIATSATOS/PLA-BN TAN,0.5558882235528942,0.3915122178975465,0.3901920010856857,0.9943809727792148,0.5611584739789914
2,3,R2F3,transport_ACC_AHA_130_80,GALIATSATOS/PLA-BN TAN,0.6297405189620758,0.6132587064676617,0.6135653688905891,0.6478373749652786,0.4529455849704883
